gene_name,gene_biotype,chromosome,strand,transcript_count
OSTCP5,processed_pseudogene,chr1,-,1
RPS12P2,processed_pseudogene,chr10,-,1
ST13P18,processed_pseudogene,chrX,-,1
RPL9P2,processed_pseudogene,chr17,+,1
MRPS10P2,processed_pseudogene,chr3,-,1
RP11-767N6.2,processed_pseudogene,chr1,-,1
BCAS2P2,processed_pseudogene,chr1,-,1
CYCSP53,processed_pseudogene,chr1,-,1
RPS4XP11,processed_pseudogene,chr10,-,1
RP11-297L17.6,processed_pseudogene,chr16,+,1
RP11-797H7.1,processed_pseudogene,chr7,-,1
AP000705.8,processed_pseudogene,chr21,-,1
LL0XNC01-116E7.1,processed_pseudogene,chrX,-,1
GLUD1P9,processed_pseudogene,chrX,-,1
RPS26P47,processed_pseudogene,chr13,-,1
AC009945.4,processed_pseudogene,chr7,+,1
AC003080.4,processed_pseudogene,chr7,-,1
ELK1P1,processed_pseudogene,chr7,-,1
RP11-87N24.1,processed_pseudogene,chr9,+,1
PPIAP27,processed_pseudogene,chr13,-,1
PFN1P3,processed_pseudogene,chr1,+,1
TATDN1P1,processed_pseudogene,chr10,+,1
SNX18P7,processed_pseudogene,chr9,+,1
UBTFL2,processed_pseudogene,chr11,-,1
CTBP2P8,processed_pseudogene,chr1,-,1
RCC2P1,processed_pseudogene,chrY,-,1
TXNP3,processed_pseudogene,chr1,+,1
RP11-344N17.6,processed_pseudogene,chrX,+,1
RP11-415K20.1,processed_pseudogene,chr1,-,1
BX682235.1,processed_pseudogene,chrX,+,1
AC004129.7,processed_pseudogene,chr7,+,1
RP6-29D12.2,processed_pseudogene,chrX,+,1
RPL5P7,processed_pseudogene,chr2,-,1
CICP13,processed_pseudogene,chr1,+,1
SLC25A5P4,processed_pseudogene,chr13,+,1
UBE2WP1,processed_pseudogene,chr1,+,1
AC105342.1,processed_pseudogene,chr2,-,1
KRT18P2,processed_pseudogene,chr21,-,1
RP11-344N17.13,processed_pseudogene,chrX,+,1
AC005534.6,processed_pseudogene,chr7,+,1
RP11-211N8.6,processed_pseudogene,chr9,-,1
AC006960.5,processed_pseudogene,chr7,+,1
COX6CP12,processed_pseudogene,chrX,-,1
RP11-266I3.1,processed_pseudogene,chrX,-,1
SLC25A1P2,processed_pseudogene,chr7,+,1
DASS-23B5.2,processed_pseudogene,chrCHR_HSCHR6_MHC_DBB_CTG1,-,1
ZNF101P2,processed_pseudogene,chr1,-,1
AC096664.1,processed_pseudogene,chr2,+,1
ALDH7A1P4,processed_pseudogene,chr10,-,1
HNRNPA1P51,processed_pseudogene,chr2,-,1
MRPS21P1,processed_pseudogene,chr1,-,1
RPL13AP20,processed_pseudogene,chr12,+,1
FYTTD1P1,processed_pseudogene,chr9,-,1
AC073072.7,processed_pseudogene,chr7,-,1
PTGES3P1,processed_pseudogene,chr1,-,1
NDUFB1P2,processed_pseudogene,chr1,+,1
RPL12P43,processed_pseudogene,chrX,+,1
GAPDHP19,processed_pseudogene,chrY,+,1
CSNK1G2P1,processed_pseudogene,chr9,+,1
ZNF114P1,processed_pseudogene,chr21,+,1
PTGES3P5,processed_pseudogene,chr10,+,1
RP1-164F3.8,processed_pseudogene,chrX,-,1
API5P1,processed_pseudogene,chrX,-,1
AC079776.4,processed_pseudogene,chr2,-,1
TPMTP2,processed_pseudogene,chr3,-,1
HSPA8P20,processed_pseudogene,chrX,-,1
COX6B1P1,processed_pseudogene,chr7,+,1
RPL7AP71,processed_pseudogene,chrX,+,1
BIN2P1,processed_pseudogene,chr4,+,1
RAD1P1,processed_pseudogene,chr10,+,1
ZFRP1,processed_pseudogene,chrX,-,1
RP5-1116H23.1,processed_pseudogene,chr20,-,1
RP11-382H24.2,processed_pseudogene,chr9,-,1
MRPL50P1,processed_pseudogene,chr2,-,1
FABP5P14,processed_pseudogene,chr2,-,1
RP11-253E3.1,processed_pseudogene,chr12,-,1
GNG5P5,processed_pseudogene,chr13,+,1
RP11-41L14.1,processed_pseudogene,chrX,-,1
RP11-263C16.2,processed_pseudogene,chr3,+,1
RP1-206D15.5,processed_pseudogene,chr1,-,1
RP11-5P18.1,processed_pseudogene,chr1,+,1
H2AFZP5,processed_pseudogene,chr10,+,1
RPSAP9,processed_pseudogene,chr9,+,1
RPL7P11,processed_pseudogene,chr1,+,1
AC016894.1,processed_pseudogene,chr2,-,1
NUS1P3,processed_pseudogene,chr13,+,1
WDR82P1,processed_pseudogene,chr3,-,1
NECAP1P2,processed_pseudogene,chr2,+,1
RPS19P6,processed_pseudogene,chr9,-,1
AC009263.2,processed_pseudogene,chr7,+,1
OTX2P1,processed_pseudogene,chr9,-,1
YWHAEP5,processed_pseudogene,chr2,-,1
AL162151.3,processed_pseudogene,chr14,+,1
AGPAT5P1,processed_pseudogene,chrY,+,1
AC013429.4,processed_pseudogene,chr7,-,1
HMGN2P5,processed_pseudogene,chr15,+,1
VDAC2P4,processed_pseudogene,chr2,+,1
RP5-837I24.5,processed_pseudogene,chr1,-,1
NUS1P2,processed_pseudogene,chr13,+,1
PRDX3P3,processed_pseudogene,chr13,-,1
VDAC1P3,processed_pseudogene,chrX,-,1
PRUNEP1,processed_pseudogene,chr13,-,1
RP11-726G23.10,processed_pseudogene,chr8,-,1
RP11-760D2.9,processed_pseudogene,chr7,+,1
ATP5A1P8,processed_pseudogene,chr9,-,1
HDAC1P1,processed_pseudogene,chr10,+,1
LL22NC03-123E1.5,processed_pseudogene,chr22,-,1
RPEP5,processed_pseudogene,chr2,-,1
AL022237.3,processed_pseudogene,chr22,+,1
KRT18P15,processed_pseudogene,chr3,+,1
AC144530.1,processed_pseudogene,chr3,-,1
EIF5AP4,processed_pseudogene,chr10,-,1
RP11-183K14.1,processed_pseudogene,chrX,+,1
CTD-2666L21.2,processed_pseudogene,chr19,+,1
AP002381.2,processed_pseudogene,chr11,+,1
E2F6P1,processed_pseudogene,chr22,+,1
ELL2P3,processed_pseudogene,chr13,-,1
RP11-552E4.2,processed_pseudogene,chrX,+,1
TPT1P9,processed_pseudogene,chr9,-,1
RP11-182I10.1,processed_pseudogene,chr1,+,1
EEF1GP5,processed_pseudogene,chrX,+,1
HSPA8P3,processed_pseudogene,chr10,+,1
NUTF2P4,processed_pseudogene,chr1,+,1
RP11-552J9.6,processed_pseudogene,chrX,+,1
RPS3AP6,processed_pseudogene,chr15,+,1
PCMTD1P3,processed_pseudogene,chr7,-,1
MORF4,processed_pseudogene,chr4,-,1
AC090505.5,processed_pseudogene,chr3,+,1
RP11-9E13.4,processed_pseudogene,chr10,+,1
RP11-241I20.5,processed_pseudogene,chr10,-,1
RP11-146D12.6,processed_pseudogene,chr9,-,1
RP11-288D15.1,processed_pseudogene,chr10,+,1
RP11-336N8.4,processed_pseudogene,chr9,+,1
MRPS33P4,processed_pseudogene,chr20,+,1
XRCC6P2,processed_pseudogene,chrX,-,1
PHBP13,processed_pseudogene,chr13,+,1
AC073464.6,processed_pseudogene,chr2,+,1
RP11-5P22.1,processed_pseudogene,chr5,+,1
RPS26P30,processed_pseudogene,chr7,+,1
RP11-119H12.4,processed_pseudogene,chr4,+,1
CDC42P2,processed_pseudogene,chr7,-,1
MTND2P3,processed_pseudogene,chrY,+,1
RPL23AP42,processed_pseudogene,chr3,-,1
NDUFA5P3,processed_pseudogene,chr9,-,1
ATP5A1P5,processed_pseudogene,chr9,-,1
RP11-410C4.2,processed_pseudogene,chr1,-,1
RP11-467I20.5,processed_pseudogene,chr1,+,1
HSPE1P1,processed_pseudogene,chr20,-,1
PIGFP2,processed_pseudogene,chr9,+,1
EIF3EP1,processed_pseudogene,chr6,+,1
MTND5P26,processed_pseudogene,chrX,+,1
RP13-130D24.1,processed_pseudogene,chrX,-,1
MTND6P13,processed_pseudogene,chrX,-,1
RP11-415H23.4,processed_pseudogene,chr9,+,1
IL6RP1,processed_pseudogene,chr9,-,1
TSEN15P3,processed_pseudogene,chr7,-,1
ATP5HP4,processed_pseudogene,chr12,-,1
HMGN1P18,processed_pseudogene,chr7,+,1
MARK2P15,processed_pseudogene,chr10,-,1
AC009969.1,processed_pseudogene,chr2,-,1
CDC42P1,processed_pseudogene,chr20,-,1
RP11-101O6.2,processed_pseudogene,chr1,+,1
RP11-508N22.11,processed_pseudogene,chr10,-,1
SDHCP3,processed_pseudogene,chr2,+,1
FABP5P13,processed_pseudogene,chrX,-,1
FABP5P7,processed_pseudogene,chr11,-,1
RP13-33H18.1,processed_pseudogene,chrX,+,1
FTH1P2,processed_pseudogene,chr1,+,1
RP11-534L20.4,processed_pseudogene,chr1,+,1
RP11-280O24.3,processed_pseudogene,chr9,+,1
AC010132.11,processed_pseudogene,chr7,+,1
RP11-3L10.3,processed_pseudogene,chr7,-,1
AC013429.5,processed_pseudogene,chr7,-,1
SNRPCP19,processed_pseudogene,chr7,-,1
EIF4A1P2,processed_pseudogene,chrY,-,1
RP11-157D18.2,processed_pseudogene,chr1,-,1
RP3-497J21.1,processed_pseudogene,chr6,-,1
AF121897.4,processed_pseudogene,chr21,+,1
COX20P2,processed_pseudogene,chr2,+,1
GEMIN2P1,processed_pseudogene,chr1,-,1
RP11-11M20.2,processed_pseudogene,chr20,-,1
HMGN1P30,processed_pseudogene,chr18,-,1
RP5-1099D15.1,processed_pseudogene,chr20,-,1
MTND6P12,processed_pseudogene,chrX,-,1
TECRP1,processed_pseudogene,chr4,-,1
PPIAP3,processed_pseudogene,chr20,+,1
RPL7P8,processed_pseudogene,chr1,+,1
RP4-609E1.2,processed_pseudogene,chr1,+,1
VDAC1P4,processed_pseudogene,chr1,+,1
UBE2V1P7,processed_pseudogene,chrX,-,1
SLC25A5P2,processed_pseudogene,chr2,-,1
RPL24P2,processed_pseudogene,chr20,+,1
RP4-785J1.1,processed_pseudogene,chr1,+,1
RP11-759L5.2,processed_pseudogene,chrX,-,1
GAPDHP52,processed_pseudogene,chr13,+,1
AC010492.2,processed_pseudogene,chr19,+,1
SUMO1P3,processed_pseudogene,chr1,+,1
RP11-669M2.2,processed_pseudogene,chr1,+,1
CHCHD2P6,processed_pseudogene,chr1,+,1
RP4-620E11.4,processed_pseudogene,chr20,-,1
RP3-445O10.1,processed_pseudogene,chr1,+,1
RPL7L1P3,processed_pseudogene,chr7,+,1
RP3-450M14.1,processed_pseudogene,chr20,+,1
RP11-329A14.1,processed_pseudogene,chr1,+,1
RP11-8J23.1,processed_pseudogene,chr3,-,1
HSPE1P27,processed_pseudogene,chr1,+,1
RP11-241I20.4,processed_pseudogene,chr10,+,1
CHCHD2P8,processed_pseudogene,chr13,+,1
KRT8P17,processed_pseudogene,chrX,+,1
AC013474.4,processed_pseudogene,chr2,+,1
FABP7P2,processed_pseudogene,chr2,-,1
RPL35AP22,processed_pseudogene,chr9,-,1
RP13-146A14.1,processed_pseudogene,chrX,-,1
HSP90AB6P,processed_pseudogene,chr13,-,1
COX6CP17,processed_pseudogene,chr10,-,1
RPSAP16,processed_pseudogene,chr1,+,1
AC128677.3,processed_pseudogene,chr2,-,1
HMGB3P23,processed_pseudogene,chr9,-,1
RCBTB2P1,processed_pseudogene,chr10,-,1
RP11-410C4.1,processed_pseudogene,chr1,+,1
CDK5PS,processed_pseudogene,chr8,+,1
MTND1P31,processed_pseudogene,chrX,+,1
RPL39P3,processed_pseudogene,chr6,-,1
RPL26P37,processed_pseudogene,chrY,-,1
RP11-348H3.4,processed_pseudogene,chr1,+,1
RP11-613C6.4,processed_pseudogene,chr17,+,1
RP1-197O17.3,processed_pseudogene,chrX,+,1
RP1-3E10.2,processed_pseudogene,chrX,+,1
ZNF33CP,processed_pseudogene,chr10,+,1
CYP2C58P,processed_pseudogene,chr10,-,1
TATDN2P3,processed_pseudogene,chr13,+,1
TUBBP6,processed_pseudogene,chr7,+,1
RPL7AL3,processed_pseudogene,chr20,-,1
TMSB10P2,processed_pseudogene,chrX,+,1
AC092638.2,processed_pseudogene,chr2,-,1
RP11-236P24.1,processed_pseudogene,chrX,-,1
AC016712.2,processed_pseudogene,chr2,+,1
RP11-419N10.5,processed_pseudogene,chr1,+,1
MRPS18BP2,processed_pseudogene,chr2,+,1
RP1-203C2.4,processed_pseudogene,chrX,-,1
RP11-108M9.5,processed_pseudogene,chr1,+,1
AC093716.1,processed_pseudogene,chr7,-,1
RP11-384B12.2,processed_pseudogene,chr1,-,1
AC010240.2,processed_pseudogene,chr5,+,1
FKBP4P7,processed_pseudogene,chr9,-,1
NDUFB4P6,processed_pseudogene,chr2,-,1
RPL5P28,processed_pseudogene,chr10,-,1
RP11-753C18.8,processed_pseudogene,chr10,-,1
AC074117.13,processed_pseudogene,chr2,+,1
FAM103A2P,processed_pseudogene,chr6,-,1
RP1-107N3.1,processed_pseudogene,chrX,-,1
KRT18P16,processed_pseudogene,chr5,+,1
ZNF652P1,processed_pseudogene,chr3,-,1
DYNLL1P3,processed_pseudogene,chr1,+,1
AP000925.2,processed_pseudogene,chr11,-,1
BRD7P6,processed_pseudogene,chr2,+,1
RPL7AP25,processed_pseudogene,chr3,-,1
FAUP1,processed_pseudogene,chr18,-,1
MRPL53P1,processed_pseudogene,chr1,-,1
GAPDHP34,processed_pseudogene,chr13,+,1
RP11-82K18.2,processed_pseudogene,chr1,+,1
GXYLT1P6,processed_pseudogene,chr9,+,1
RPL23AP69,processed_pseudogene,chr13,+,1
DUSP8P5,processed_pseudogene,chr10,+,1
COTL1P2,processed_pseudogene,chr17,+,1
DASS-23B5.1,processed_pseudogene,chrCHR_HSCHR6_MHC_SSTO_CTG1,+,1
AC009963.6,processed_pseudogene,chr2,-,1
AC006946.12,processed_pseudogene,chr22,-,1
RP5-1168A5.1,processed_pseudogene,chrX,+,1
RPSAP76,processed_pseudogene,chr9,-,1
BTG3P1,processed_pseudogene,chrX,+,1
DUSP5P2,processed_pseudogene,chr3,+,1
GEMIN2P2,processed_pseudogene,chr3,+,1
RP1-37M3.8,processed_pseudogene,chr22,-,1
RP11-561N12.6,processed_pseudogene,chr7,-,1
AC023128.2,processed_pseudogene,chr2,-,1
CTA-276O3.4,processed_pseudogene,chr7,+,1
SNRPGP10,processed_pseudogene,chr1,+,1
SAPCD2P2,processed_pseudogene,chr7,+,1
RPL36AP15,processed_pseudogene,chr2,-,1
RP4-764D2.1,processed_pseudogene,chr1,+,1
RP11-388B24.4,processed_pseudogene,chr9,+,1
MRPS10P1,processed_pseudogene,chr1,+,1
RPL7P31,processed_pseudogene,chr7,+,1
MTND4P31,processed_pseudogene,chrX,-,1
CTD-2651B20.5,processed_pseudogene,chr15,-,1
RP4-641G12.4,processed_pseudogene,chr1,+,1
AC007041.2,processed_pseudogene,chr2,-,1
KRT18P63,processed_pseudogene,chr4,+,1
RPSAP24,processed_pseudogene,chr2,+,1
RP3-339A18.3,processed_pseudogene,chrX,-,1
KATNBL1P3,processed_pseudogene,chr18,-,1
SUMO2P10,processed_pseudogene,chr3,+,1
RPS7P13,processed_pseudogene,chrX,-,1
AC083875.2,processed_pseudogene,chr7,-,1
ZSWIM5P1,processed_pseudogene,chr17,-,1
RP11-214J9.1,processed_pseudogene,chr2,-,1
PSMB3P2,processed_pseudogene,chr2,-,1
TRAPPC13P1,processed_pseudogene,chrX,-,1
RP11-480I12.2,processed_pseudogene,chr1,-,1
HAUS6P3,processed_pseudogene,chr7,+,1
RPS26P31,processed_pseudogene,chr7,+,1
AC078974.2,processed_pseudogene,chr2,-,1
RPL10AP5,processed_pseudogene,chr1,+,1
MRPL50P4,processed_pseudogene,chr10,-,1
EIF4A1P7,processed_pseudogene,chr13,+,1
RPL21P135,processed_pseudogene,chr3,+,1
RP1-101G11.2,processed_pseudogene,chr22,-,1
DBF4P1,processed_pseudogene,chr10,-,1
SNX19P2,processed_pseudogene,chr13,-,1
RPS2P7,processed_pseudogene,chr20,-,1
LLPHP2,processed_pseudogene,chr21,-,1
MTCO1P23,processed_pseudogene,chr10,-,1
FTLP1,processed_pseudogene,chr20,-,1
FECHP1,processed_pseudogene,chr3,+,1
MTND1P33,processed_pseudogene,chrX,+,1
RPS11P1,processed_pseudogene,chr20,-,1
AC087499.5,processed_pseudogene,chr17,+,1
NDUFB11P1,processed_pseudogene,chr11,-,1
AC073551.1,processed_pseudogene,chr2,-,1
EIF1P2,processed_pseudogene,chr1,-,1
AC005822.1,processed_pseudogene,chr17,-,1
SUMO1P4,processed_pseudogene,chr19,+,1
SNX18P14,processed_pseudogene,chr2,-,1
RP3-412A9.12,processed_pseudogene,chr22,+,1
AC073150.6,processed_pseudogene,chr7,-,1
AC007283.4,processed_pseudogene,chr2,-,1
GS1-111G14.1,processed_pseudogene,chr7,+,1
RP11-448G4.2,processed_pseudogene,chr1,+,1
GAPDHP65,processed_pseudogene,chrX,-,1
RP11-380D15.2,processed_pseudogene,chr20,+,1
GAPDHP23,processed_pseudogene,chr1,-,1
RRM2P4,processed_pseudogene,chrX,+,1
POU5F1P3,processed_pseudogene,chr12,-,1
RP5-827C21.1,processed_pseudogene,chr1,-,1
AK4P6,processed_pseudogene,chr4,+,1
NSRP1P1,processed_pseudogene,chr1,+,1
ST13P2,processed_pseudogene,chr2,+,1
RPL36AP33,processed_pseudogene,chr9,+,1
KRT18P66,processed_pseudogene,chr9,+,1
SNRPFP4,processed_pseudogene,chr3,+,1
NUS1P1,processed_pseudogene,chrX,-,1
MTND6P14,processed_pseudogene,chr1,+,1
AC002069.6,processed_pseudogene,chr7,-,1
AC092646.1,processed_pseudogene,chr2,+,1
PTP4A1P5,processed_pseudogene,chrX,-,1
RPL10P5,processed_pseudogene,chr2,-,1
RP1-172B20.6,processed_pseudogene,chr22,+,1
AC064850.4,processed_pseudogene,chr2,-,1
AC007253.1,processed_pseudogene,chr2,+,1
H3F3AP4,processed_pseudogene,chr2,+,1
RPL36P18,processed_pseudogene,chrX,+,1
RPL21P40,processed_pseudogene,chr3,+,1
RP11-109P14.8,processed_pseudogene,chr1,+,1
LDHAP2,processed_pseudogene,chr1,+,1
NPM1P26,processed_pseudogene,chr10,+,1
RP11-449I17.9,processed_pseudogene,chr10,+,1
AC008746.5,processed_pseudogene,chr19,+,1
AC018442.1,processed_pseudogene,chr8,+,1
RP11-126D17.1,processed_pseudogene,chrX,+,1
PPIAP20,processed_pseudogene,chr19,+,1
RP11-395P16.1,processed_pseudogene,chr3,+,1
PA2G4P2,processed_pseudogene,chr20,+,1
CYCSP52,processed_pseudogene,chr1,+,1
PCBP2P1,processed_pseudogene,chr21,-,1
RP11-323A7.1,processed_pseudogene,chr9,-,1
KRT18P46,processed_pseudogene,chr2,+,1
RP11-340I6.6,processed_pseudogene,chr7,+,1
AC013268.3,processed_pseudogene,chr2,+,1
RP11-29O6.2,processed_pseudogene,chrX,+,1
OR2AF1P,processed_pseudogene,chrX,+,1
HMGN1P36,processed_pseudogene,chr2,+,1
RPL7AP72,processed_pseudogene,chrX,+,1
TRIM60P19,processed_pseudogene,chr13,+,1
RP11-419M24.2,processed_pseudogene,chr7,-,1
RP11-5G18.2,processed_pseudogene,chr10,-,1
CTBP2P2,processed_pseudogene,chr10,-,1
SEPT14P12,processed_pseudogene,chr1,-,1
RP11-339A11.1,processed_pseudogene,chr1,-,1
ARHGAP42P3,processed_pseudogene,chr22,-,1
MTCO3P46,processed_pseudogene,chr1,-,1
SNRPGP5,processed_pseudogene,chr10,-,1
BRD7P5,processed_pseudogene,chr13,-,1
AC000089.3,processed_pseudogene,chr22,+,1
HNRNPA1P29,processed_pseudogene,chr13,-,1
RP11-219I21.1,processed_pseudogene,chr3,+,1
RP11-402G3.6,processed_pseudogene,chr9,+,1
MTCO2P23,processed_pseudogene,chr10,-,1
RP4-535B20.2,processed_pseudogene,chr1,-,1
SOCS5P3,processed_pseudogene,chr3,-,1
MYL6P2,processed_pseudogene,chr21,+,1
RP11-550A9.1,processed_pseudogene,chr10,+,1
RP11-510N19.3,processed_pseudogene,chr1,+,1
PRELID1P3,processed_pseudogene,chr10,+,1
RP11-543E8.2,processed_pseudogene,chr1,-,1
VN1R17P,processed_pseudogene,chr1,-,1
RPL36AP26,processed_pseudogene,chr7,-,1
TBCAP2,processed_pseudogene,chr1,-,1
CNN2P3,processed_pseudogene,chr9,-,1
AC159540.14,processed_pseudogene,chr2,-,1
AC124944.4,processed_pseudogene,chr3,+,1
HSP90AB7P,processed_pseudogene,chr10,-,1
LDHAP7,processed_pseudogene,chr2,-,1
CTBP2P1,processed_pseudogene,chrY,+,1
AC006978.6,processed_pseudogene,chr7,+,1
AC005237.2,processed_pseudogene,chr2,+,1
HSPA8P6,processed_pseudogene,chr2,-,1
GAPDHP31,processed_pseudogene,chr12,+,1
RP1-102G20.4,processed_pseudogene,chr1,-,1
AC062016.3,processed_pseudogene,chr2,+,1
FEM1AP4,processed_pseudogene,chr13,+,1
FAR1P1,processed_pseudogene,chr13,+,1
PKMP2,processed_pseudogene,chrX,+,1
RP11-460E7.8,processed_pseudogene,chr9,-,1
RP11-342F21.1,processed_pseudogene,chr9,+,1
RP4-580O19.2,processed_pseudogene,chr1,-,1
RP1-159A19.3,processed_pseudogene,chr1,+,1
RP13-444K19.1,processed_pseudogene,chrX,+,1
AC073109.2,processed_pseudogene,chr7,-,1
RP11-323C15.1,processed_pseudogene,chr20,-,1
ZNRF2P3,processed_pseudogene,chr10,+,1
RP13-650G11.1,processed_pseudogene,chr7,+,1
TPT1P14,processed_pseudogene,chrX,-,1
HSPE1P12,processed_pseudogene,chr12,+,1
RP11-250H24.6,processed_pseudogene,chr9,-,1
AC008280.1,processed_pseudogene,chr2,-,1
MTND1P21,processed_pseudogene,chr10,+,1
AC002543.2,processed_pseudogene,chr7,-,1
LL0XNC01-240C2.1,processed_pseudogene,chrX,-,1
AC009965.1,processed_pseudogene,chr2,+,1
CICP20,processed_pseudogene,chr7,-,1
COX7CP1,processed_pseudogene,chr13,-,1
AC009237.17,processed_pseudogene,chr2,-,1
RP11-462L8.2,processed_pseudogene,chr10,-,1
FXYD6P2,processed_pseudogene,chr10,-,1
COX5BP3,processed_pseudogene,chr7,-,1
AC079112.1,processed_pseudogene,chr2,-,1
RP1-106C24.1,processed_pseudogene,chrX,+,1
RP1-197J16.1,processed_pseudogene,chrX,-,1
RP11-495P10.4,processed_pseudogene,chr1,-,1
RPL23AP20,processed_pseudogene,chr1,+,1
GRAMD4P2,processed_pseudogene,chr22,-,1
AC007559.1,processed_pseudogene,chr2,+,1
UBE2V1P6,processed_pseudogene,chr2,+,1
RP4-800M22.4,processed_pseudogene,chr1,-,1
RP11-438P9.1,processed_pseudogene,chr9,+,1
MTCO1P46,processed_pseudogene,chr2,+,1
HIGD1AP12,processed_pseudogene,chr1,+,1
AC011290.5,processed_pseudogene,chr7,-,1
RP4-814D15.1,processed_pseudogene,chr7,-,1
RP11-463J7.1,processed_pseudogene,chr1,+,1
AC009237.14,processed_pseudogene,chr2,+,1
RP11-90O23.1,processed_pseudogene,chr1,-,1
COX6CP18,processed_pseudogene,chr11,+,1
RP1-203C2.2,processed_pseudogene,chrX,-,1
FABP5P2,processed_pseudogene,chr13,+,1
AC073410.1,processed_pseudogene,chr2,+,1
AC013470.6,processed_pseudogene,chr7,+,1
GAPDHP14,processed_pseudogene,chr21,+,1
RP11-215A21.2,processed_pseudogene,chr10,-,1
HSPB1P1,processed_pseudogene,chr9,-,1
GSTM5P1,processed_pseudogene,chr3,-,1
RP11-281B1.2,processed_pseudogene,chrX,+,1
RP11-487E1.2,processed_pseudogene,chr1,-,1
RP1-32I10.11,processed_pseudogene,chr22,-,1
YAP1P2,processed_pseudogene,chrX,+,1
ACTG1P4,processed_pseudogene,chr1,+,1
HMGN2P28,processed_pseudogene,chr6,+,1
LDHAP3,processed_pseudogene,chr2,+,1
BNIP3P2,processed_pseudogene,chr22,+,1
RAC1P7,processed_pseudogene,chr1,-,1
PRELID3BP10,processed_pseudogene,chr7,+,1
RP11-383G10.1,processed_pseudogene,chr1,+,1
RP11-630I5.1,processed_pseudogene,chr1,+,1
HAUS6P2,processed_pseudogene,chr20,-,1
HMGN2P23,processed_pseudogene,chr2,-,1
MED13P1,processed_pseudogene,chrY,+,1
CTA-440B3.1,processed_pseudogene,chr22,-,1
ADORA2BP1,processed_pseudogene,chr1,+,1
DUX4L26,processed_pseudogene,chr3,+,1
RP11-65J3.6,processed_pseudogene,chr9,-,1
RPL23AP37,processed_pseudogene,chr2,-,1
MRPS36P1,processed_pseudogene,chr3,-,1
CHCHD4P3,processed_pseudogene,chr9,+,1
RFC3P1,processed_pseudogene,chr3,-,1
RP3-343K2.4,processed_pseudogene,chr20,-,1
GS1-541M1.2,processed_pseudogene,chrX,-,1
PRADC1P1,processed_pseudogene,chr3,+,1
GAPDHP57,processed_pseudogene,chr2,-,1
RPL12P26,processed_pseudogene,chr10,-,1
SSU72P6,processed_pseudogene,chr11,+,1
RP11-163G10.4,processed_pseudogene,chr1,+,1
RP11-297K7.1,processed_pseudogene,chr3,-,1
TCEA1P4,processed_pseudogene,chr9,-,1
HNRNPDLP3,processed_pseudogene,chrX,+,1
GJA6P,processed_pseudogene,chrX,+,1
RPL18AP15,processed_pseudogene,chrX,-,1
RP3-431C21.1,processed_pseudogene,chrX,+,1
RPS15AP25,processed_pseudogene,chr8,-,1
RNMTL1P2,processed_pseudogene,chr7,+,1
PPP1R11P1,processed_pseudogene,chr1,+,1
C1DP2,processed_pseudogene,chr10,-,1
VEZF1P1,processed_pseudogene,chr3,-,1
AC093106.4,processed_pseudogene,chr7,+,1
RP11-744O11.2,processed_pseudogene,chr3,-,1
RPL6P29,processed_pseudogene,chrX,+,1
AC104389.32,processed_pseudogene,chr11,+,1
EI24P2,processed_pseudogene,chr1,+,1
TIMM8BP1,processed_pseudogene,chr13,-,1
AC017083.2,processed_pseudogene,chr2,+,1
RP4-728D4.3,processed_pseudogene,chr1,+,1
NIPA2P5,processed_pseudogene,chr13,+,1
PEBP1P3,processed_pseudogene,chr1,-,1
AC114737.3,processed_pseudogene,chr7,+,1
NDUFB9P2,processed_pseudogene,chr7,-,1
VN1R31P,processed_pseudogene,chr7,-,1
NPM1P8,processed_pseudogene,chrX,+,1
EEF1GP7,processed_pseudogene,chr1,+,1
MTND4LP12,processed_pseudogene,chr2,-,1
EEF1E1P1,processed_pseudogene,chr2,+,1
RPL34P34,processed_pseudogene,chr19,-,1
VN1R53P,processed_pseudogene,chr10,+,1
RP11-348H3.5,processed_pseudogene,chr1,-,1
BMP6P1,processed_pseudogene,chr22,+,1
AC005300.5,processed_pseudogene,chr22,+,1
RP11-759F5.1,processed_pseudogene,chr1,+,1
RPL5P9,processed_pseudogene,chr2,+,1
POM121L13P,processed_pseudogene,chr13,+,1
EI24P4,processed_pseudogene,chr7,+,1
PSMC1P10,processed_pseudogene,chr2,+,1
SUCLG2P2,processed_pseudogene,chr12,+,1
EI24P1,processed_pseudogene,chr3,-,1
RP11-334A14.2,processed_pseudogene,chr1,-,1
RP5-849L7.1,processed_pseudogene,chrX,+,1
POU5F1P5,processed_pseudogene,chr10,-,1
